aren't,are not
can't,can not
couldn't,could not
couldn't've,could not have
could've,could have
didn't,did not
doesn't,does not
hadn't,had not
hasn't,has not
haven't,have not
here's,here is
how'll,how will
how're,how are
I'm,I am
isn't,is not
it'd,it would
I've,I have
let's,let us
ma'am,madam
mayn't,may not
may've,may have
mightn't,might not
might've,might have
mustn't,must not
mustn't've,must not have
must've,must have
needn't,need not
o'clock,of the clock
oughtn't,ought not
shan't,shall not
shouldn't,should not
should've,should have
there're,there are
these're,these are
these've,these have
they've,they have
wasn't,was not
we're,we are
weren't,were not
we've,we have
what'd,what did
what've,what have
where'd,where did
where're,where are
where've,where have
which're,which are
which've,which have
who'd've,who would have
who're,who are
who've,who have
why'd,why did
why're,why are
won't,will not
wouldn't,would not
would've,would have
you'd,you had
you'll,you shall
you're,you are
you've,you have
